user_id,recommended_items
2244077,825883 2789248 125555 1913505 1986144
2244148,1344375 1610932 2109746 328728 1117025
2244595,2728995 2821503 2438963 2026628 10905
2244958,599025 2103306 75845 2591944 1244196
2245346,2647855 1306916 9389 477457 2725574
2246071,1917512 1686060 2631508 670580 546671
2246229,2205209 1257566 204857 951360 2057927
2246657,2778525 1244196 1386412 657183 2791339
2246798,2518365 1096018 934577 2572737 1667468
2247377,583822 2650103 2674899 955776 2807563
2247557,617858 1025299 1278222 2054114 2254951
2248235,697676 1600513 595394 1510033 1328208
2248708,316060 12160 2454281 2362446 3888
2248726,1383508 20591 561360 1751093 1294471
2249210,2778525 1244196 1386412 657183 2791339
2249633,560686 1620649 1185847 1847076 2640107
2249784,266412 2420135 1069281 2313894 1162250
2250154,1168736 1717754 1324922 108179 2559644
2250364,2778525 1244196 1386412 657183 2791339
2250428,1529535 12449 1506186 965206 1934991
2250816,2233695 1448830 781630 1211265 2260968
2251007,2778525 1244196 1386412 657183 2791339
2251053,2387964 2190572 220676 1990232 525076
2251082,2742680 1027044 555553 2295883 2386570
2251522,2062248 1736140 34986 2014770 836560
2251631,956110 965909 2716169 792854 2329750
2252812,2262131 1984305 413880 1086569 1732188
2253226,956852 1075884 1954709 969821 717635
2253431,343377 899258 784737 1269685 1776330
2253498,2778525 1244196 1386412 657183 2791339
2253513,824996 2234300 1882410 1297220 1913762
2253707,105656 925765 2437808 2629501 179347
2253959,514419 1165605 1317915 2603642 350611
2254207,1115740 846052 1450886 2149399 50457
2255110,172557 1325316 755907 2751827 946489
2255520,131280 1848064 1980857 675428 2244218
2255895,1718313 543732 720941 178064 1859972
2256440,2332267 1655570 1438232 2788965 2295534
2257055,1990447 1239814 2477820 427563 701156
2257096,1451782 1529535 2550498 2783627 685565
2257248,1575332 1471966 1620407 1948919 855699
2257383,1155822 2645480 583133 815405 2250703
2257610,1975675 2781938 1916970 936315 2112471
2258664,42082 100696 2058949 1485223 944141
2258767,1135108 1044451 2293269 523776 1924180
2258810,1515708 807267 527900 2634975 1851354
2259003,742192 718148 124829 2679992 1021972
2259432,1069281 2313894 1443706 1953846 657183
2260021,802392 2146023 621752 1297025 2689248
2260194,2391945 2255841 604795 2353541 2164559
2260391,1429985 1447180 1061729 743906 1446760
2260564,2229410 599025 1780277 1443706 2103306
2261375,1526450 982359 1883184 1774879 872187
2261720,1350148 2056638 2351730 444367 1593949
2262134,1597152 1731523 1475060 435755 2519824
2262154,321202 2687292 2712130 2390578 365439
2262322,133855 809969 1899650 2260922 2821726
2262624,2453665 1014892 2051063 98558 1055691
2262661,1226672 942854 1205745 54944 2196608
2262669,166205 2655545 1876698 1606360 659391
2263034,920520 734638 309333 377828 1887979
2263292,2778525 1244196 1386412 657183 2791339
2263366,2380717 1828238 2335481 1858501 2632598
2265022,535759 1276772 1655184 939646 949028
2265153,1883184 872187 982359 182233 1160406
2265642,2778525 1244196 1386412 657183 2791339
2265712,1670390 2462164 1226070 393365 1994193
2266139,2175554 2070204 49274 1578279 2636282
2266653,1772437 1819698 1885417 1684546 1010774
2266661,1375201 2819749 733101 489123 2670021
2266780,2778525 1244196 1386412 657183 2791339
2267081,1593949 595045 2378684 2186445 2215624
2267101,2820126 1778220 1140410 2217719 2340974
2267633,1235307 2106476 2624540 1448905 2502137
2268260,1632877 1195879 604808 2501297 1977993
2268636,2778525 1244196 1386412 657183 2791339
2268724,374376 1443706 803962 92053 1386412
2268878,2094371 1527308 1942059 1454687 1435315
2268996,2586787 648857 2701725 1649627 535570
2269147,1636859 699465 111604 2065842 240076
2269213,1887464 436637 1392358 1770611 2537726
2269324,529619 1099170 148365 34224 727753
2269666,940697 1583220 796888 2113541 307743
2269721,731325 1548847 765822 254698 1742063
2269985,1311266 2004103 2675281 1287048 1680423
2270049,2083486 390814 1609189 1164312 105999
2271282,1001431 1585675 2778162 1729786 84155
2271890,734939 1634003 638039 823816 2250567
2272422,2778525 1244196 1386412 657183 2791339
2272988,1122810 186124 1432568 2249010 2498458
2273236,1931953 2003846 355827 1939331 1127246
2274497,208236 1489467 1101860 2190917 2619522
2274596,2778525 1244196 1386412 657183 2791339
2274868,530744 870063 2036210 584626 2105129
2275171,2629501 600761 685253 300053 245634
2275357,2360440 534600 2711632 1854409 1364884
2275488,422275 434421 1129576 2128052 1843411
2276174,664949 2032370 1205163 1164312 321197
2276630,744742 2625619 452334 2475133 628817
2277994,1074013 399435 1888822 2251758 2625273
2278049,2778525 1244196 1386412 657183 2791339
2278188,2623483 1835731 745361 858958 2015500
2278502,1650824 1149594 426599 741927 130558
2278692,486936 343377 657183 1508264 508531
2278809,660572 2758507 1455198 812463 157519
2278882,1082580 1919289 1308551 1450645 708837
2279031,1027568 170850 2037015 1820087 1483617
2279475,310141 985008 2685830 2786395 1226672
2279513,595303 2162032 1194436 456839 2082498
2279608,2754252 160999 751805 51281 2066757
2279931,1979034 170018 1684410 808150 2282701
2280242,1835008 2621441 131076 2190835 2359303
2280266,872473 389344 1972684 2372252 2734987
2280398,1323563 866063 2713243 2213944 700505
2280863,744742 1290492 2288524 628817 377222
2281966,2778525 1244196 1386412 657183 2791339
