user_id,recommended_items
1982,1835008 2621441 131076 2190835 2359303
2742,1835008 2621441 131076 2190835 2359303
3161,472040 2755931 1352448 1188603 416914
3256,2786666 1244196 1593341 698025 2280539
3375,272403 2478597 1130008 493250 891705
3547,1835008 2621441 131076 2190835 2359303
3630,415358 714699 2750191 1443706 447985
3806,483316 902049 2625432 2832470 832732
4607,1835008 2621441 131076 2190835 2359303
5112,1835008 2621441 131076 2190835 2359303
5627,345660 1937957 314274 2802026 415358
5686,926828 1915773 2309898 1465560 2137463
5738,538069 872187 2310939 1129899 1774879
5839,1952969 2603642 1443706 2698468 1376308
6442,2558141 1174479 211719 2526744 315406
7182,2340784 248636 2014172 1183228 1734442
7693,1835008 2621441 131076 2190835 2359303
8316,2476988 2347314 79135 1982238 2538053
9660,392352 2709027 2084333 2809247 1295234
9680,2254695 1463495 624750 2184058 1524884
10044,388367 1208433 2232786 81416 1218
10316,952267 1091499 1036456 1111139 1112441
