user_id,recommended_items
285, 1726380 561002 1898571 1281879 2676153
902, 1443706 399435 1878292 1972454 599025
948, 1053542 2382795 1961467 2614160 1244196
1183, 1664426 1096406 2214708 2393265 2117630
1286, 1835008 2621441 131076 2190835 2359303
1509, 892333 2467273 1865831 568223 2182715
1776, 1757758 1277140 1687056 588206 2468340
1982, 2778525 1244196 1386412 657183 2791339
2742, 2778525 1244196 1386412 657183 2791339
3161, 472040 2755931 1352448 1188603 416914
3256, 2786666 1244196 1593341 698025 2280539
3375, 272403 2478597 1130008 493250 891705
3547, 2778525 1244196 1386412 657183 2791339
3630, 415358 714699 2750191 1443706 447985
3806, 483316 902049 2625432 2832470 832732
4607, 2778525 1244196 1386412 657183 2791339
5112, 2778525 1244196 1386412 657183 2791339
5627, 345660 1937957 314274 2802026 415358
5686, 926828 1915773 2309898 1465560 2137463
5738, 538069 872187 2310939 1129899 1774879
5839, 1952969 2603642 1443706 2698468 1376308
6442, 2558141 1174479 211719 2526744 315406
7182, 2340784 248636 2014172 1183228 1734442
7693, 2778525 1244196 1386412 657183 2791339
8316, 2476988 2347314 79135 1982238 2538053
9660, 392352 2709027 2084333 2809247 1295234
9680, 2254695 1463495 624750 2184058 1524884
10044, 388367 1208433 2232786 81416 1218
10316, 952267 1091499 1036456 1111139 1112441
10469, 1739484 1985892 1861596 1470366 1483617
10470, 353289 161347 2686231 2210368 2154395
10870, 2778525 1244196 1386412 657183 2791339
10956, 192785 459732 2137413 546579 1290786
11027, 561642 2804423 2416312 991628 1522676
11380, 152969 434421 2705558 329426 140720
11423, 2778525 1244196 1386412 657183 2791339
11805, 178439 1421766 2673524 1604818 1175235
12046, 1446413 914591 1432589 607052 931565
12097, 201335 1386412 784737 1092821 657183
12233, 2778525 1244196 1386412 657183 2791339
12593, 702963 1469359 2625962 1216431 222596
12626, 1088997 1631256 2292469 637549 2118010
12630, 2761339 2393613 1099748 987462 393793
12671, 2568608 524925 522348 1984752 1741345
12689, 1105190 1098944 140160 835143 2278938
12750, 174545 2825482 657183 2092767 1162250
12852, 406835 1102260 932497 981474 2255401
13715, 2778525 1244196 1386412 657183 2791339
14269, 456323 2063876 902772 508676 1241609
14624, 2459081 650831 1953846 266412 468120
14792, 1899045 1301297 941511 1242345 1507066
14966, 2081994 420362 908513 2621022 2275702
15006, 1115516 1609009 2667087 1654907 1344035
15100, 529619 1099170 1192184 651083 148365
15549, 1953745 602260 2093033 2086053 1214672
15611, 2078789 1870216 2827667 920509 2818939
16228, 2778525 1244196 1386412 657183 2791339
16874, 2216677 1339831 483871 158526 2353116
16971, 825883 1291947 725769 2539956 1816977
18097, 339478 2410081 1428371 42465 175978
18564, 1040704 1576126 1295570 81952 1099911
18796, 385584 2730930 1027708 1723658 1551995
18994, 595572 1462267 1463490 337914 406606
19544, 914870 2419733 2441110 1709782 1919107
19679, 1153200 803421 1734969 1624164 2215646
19704, 712930 1606193 66772 2624203 2115383
20101, 919742 2566970 1655463 1763516 2157649
20679, 2621819 2494138 791461 542471 2326175
20815, 890051 2229512 1853461 176021 1820087
20979, 1029640 485102 1702541 2588067 1449761
21195, 1477642 452334 1567110 164623 3450
21324, 1714028 1223649 1483912 1757451 2157040
21578, 2778525 1244196 1386412 657183 2791339
21627, 2093033 2606923 1339536 2139131 2672526
21663, 2617752 213472 2656392 2457976 2209942
21813, 59091 1212859 592140 2718988 1585842
21835, 468120 2420135 650831 1047625 1953846
22107, 484085 986950 2251758 902591 1590432
22206, 274885 2730927 787368 964436 2802299
22591, 1834588 1880316 1106285 1749748 576717
22728, 2778525 1244196 1386412 657183 2791339
23229, 1908731 1835008 2621441 131076 2190835
23361, 887155 2143484 1710715 1134856 1672383
23459, 1391091 2313955 659969 1716359 537780
23667, 550978 2471510 1481959 1820501 410738
23718, 2257200 1149693 1310522 2463127 1808280
24419, 2778525 1244196 1386412 657183 2791339
24465, 859700 2373028 165917 2315453 80271
25906, 1848866 687954 2654245 2399855 1842540
26038, 2257516 300368 665666 1689895 2165607
26658, 2519335 1578355 1858507 771448 780639
27187, 314274 62452 230373 1776696 2314914
27501, 1888821 130565 436974 2692362 2708475
27638, 404604 459998 106209 1095251 2385866
27707, 384116 1967011 2599667 34232 1003125
27727, 1809836 71285 1140869 1585842 2167880
27845, 582473 2774083 1961823 2581784 1029608
27931, 769814 585762 2305336 131280 1848064
28232, 1340660 701927 1403274 2695791 120395
28739, 806981 204044 1640475 426959 273574
28801, 1376234 1069152 1243037 1900852 324207
28972, 1922984 2511483 1994344 2362712 1736387
29072, 1074013 340121 5726 712901 1407200
29146, 850021 2318985 1962428 2332561 783582
29212, 2073499 2054114 541633 69688 2048072
29340, 614680 714309 186524 1483270 389056
29449, 557005 1407200 209611 1126431 246014
29519, 1162250 2423978 343377 2106311 784737
30094, 1541384 1838641 1038899 22717 35505
30368, 2778525 1244196 1386412 657183 2791339
30774, 2778525 1244196 1386412 657183 2791339
30910, 1159573 350611 1328208 2700743 2631746
31318, 1682300 1529089 1527663 818888 655873
32111, 2778525 1244196 1386412 657183 2791339
32371, 1469233 1200177 282824 147908 1955277
32434, 2618175 1754204 1765833 916670 830372
33119, 2778525 1244196 1386412 657183 2791339
33317, 2080213 2164654 72989 2040236 22987
33492, 18386 924377 2667620 2458486 2597653
33552, 2098158 1719302 1259502 1015502 2819375
33704, 784737 2313894 1443706 2420135 1244196
35125, 2036870 436637 206968 787160 2058516
35517, 1693312 774818 1485172 1770648 2049850
35752, 599025 1301350 1196465 2087623 741927
36049, 2330777 412692 506948 1176158 426955
36125, 1446413 2778161 914591 1432589 931565
36396, 2778525 1244196 1386412 657183 2791339
36940, 2257516 2595466 1689895 665666 81964
37187, 1590528 2376471 675243 714376 878016
37351, 1055980 931904 2562069 2672855 2044507
38059, 2128013 1600861 2501141 1576782 543642
38189, 1040704 849732 2069813 1099911 849943
38365, 2680669 2786933 2817765 1809836 1079838
38481, 1406238 1243037 1900852 324207 2332561
38730, 1330328 2218230 2705759 632873 452334
38944, 2659613 2434102 1951358 2398188 857213
39189, 2778525 1244196 1386412 657183 2791339
39773, 2469507 676430 1219939 161997 1506892
39778, 542825 1563760 439065 2336274 2671218
40141, 1883184 1241609 1383071 1147483 2310939
40180, 565050 744459 1838641 1712562 1874213
40246, 439558 818187 1728252 1084227 1292291
40468, 1613050 161945 465997 1805527 499544
41309, 1835008 2621441 131076 2190835 2359303
41345, 1715993 1717385 1340384 1519327 2045328
41383, 1739253 404559 2773490 559359 1362866
41403, 514419 2603642 2359960 2754325 1448364
41629, 1338318 669613 2009142 337568 1474873
41649, 2648928 252065 2024094 2691131 460717
42051, 934633 184768 1049685 100398 140830
42321, 2778525 1244196 1386412 657183 2791339
42617, 258349 1025299 789804 1759064 1499162
42912, 760418 399306 2478168 2455454 2199144
43088, 2679423 737077 1838940 2365839 1492807
43399, 951466 514146 1348563 1698035 1306367
43444, 2778525 1244196 1386412 657183 2791339
44628, 1143465 1048951 409615 2717500 2431805
46074, 2778525 1244196 1386412 657183 2791339
46106, 2543838 695196 867170 1999749 1222449
46377, 2133029 797433 1971103 81564 1525111
46391, 1254543 1125616 2618356 886874 1226070
46874, 1809836 2750341 2680669 2220227 1079838
47353, 2454484 278162 286848 2078554 2705558
47387, 1539375 2321584 617661 1396688 2663563
47475, 1264258 1412112 378275 2213663 592267
47662, 1332465 2241130 1626821 1314105 2492063
48463, 2778525 1244196 1386412 657183 2791339
48478, 1998862 1828165 2771276 301390 326075
48675, 1498369 2361776 1747004 1874979 235930
48789, 190325 2165626 1809404 869264 2051097
49239, 1726380 561002 2712821 628817 1808563
49334, 2232175 1515138 2202525 2061955 527751
49418, 1460943 2653524 2021401 2079783 700544
49794, 1183524 2806901 1367732 1887464 955025
50754, 1861202 638518 47288 85154 2708556
50874, 926265 2503726 593816 1830651 1452119
51289, 1997182 1742276 1902604 669126 2484850
51380, 2415019 746387 698130 131280 1442541
51416, 1971103 775484 381727 1976644 2689908
51445, 934906 933698 2710882 560898 1454687
51851, 423759 2740053 1172012 9269 419239
52067, 466209 1857088 32437 1621655 1106600
52207, 925131 2400469 2183922 2140236 1124220
52730, 266412 72465 139004 2466095 1249278
52831, 2450180 267879 2110350 2091857 1094511
53121, 1359640 2312579 2080710 1553155 22825
53574, 592559 1776696 186124 209611 2329750
53638, 1936328 1194598 720941 1128545 1982972
53677, 758113 15786 30850 954356 2643521
53760, 97392 2250299 2396028 1808597 1212042
53874, 1687807 1874092 181004 1308032 1362042
54382, 1212118 1386412 1241464 376763 541220
55261, 1951733 1465560 2137463 310350 1527872
55358, 1784135 2182050 1438622 783982 2053679
55450, 638203 2747710 2183636 818080 1839950
55534, 1835008 2621441 131076 2190835 2359303
56110, 1414197 612155 789804 1585675 1795364
56216, 836451 1042335 2273931 2503671 1177292
56227, 1222450 2298200 1194436 2243928 1242261
56317, 1042576 1767343 685748 2614674 1051132
56439, 1472192 2230478 704184 2555295 1818718
57013, 1069281 2313894 599025 2103306 266412
58197, 876978 2229410 2265463 379473 1780277
58250, 787130 929038 2262010 2811292 1672746
58548, 669669 623544 1635132 94520 1957151
58600, 1595372 47583 1955037 2752423 460717
58624, 42452 2778525 538069 872187 358787
58695, 2817943 399341 854455 269073 1354180
58784, 2778525 1244196 1386412 657183 2791339
58798, 1835008 2621441 131076 2190835 2359303
58833, 419304 2698468 1597526 861614 2497465
59104, 1106285 1684546 2328808 826075 1751853
59135, 165162 988691 1839946 2756633 659571
59546, 665194 2631964 2729479 2662501 2624682
59782, 2492753 2113478 2731653 550345 201448
59842, 2612009 137542 1993563 1294002 730103
60155, 944507 1870216 77922 938764 2654924
60471, 656507 1399049 2347794 103079 368328
60496, 2778525 1244196 1386412 657183 2791339
61016, 1053542 1241609 823512 2310939 1141074
61298, 2219682 1774879 855938 2573545 75053
61873, 721340 597331 2073057 897197 2631317
62808, 215392 2635463 1499573 852451 1660229
62908, 131280 2366151 1848064 1980857 675428
62914, 1835008 2621441 131076 2190835 2359303
63061, 1301316 1794685 1456599 636889 1966116
63163, 289273 191281 1347460 1086171 1882624
63322, 2832110 1372937 2104059 1676367 368950
63597, 952835 568926 1453462 2031103 1662460
63753, 673421 2686808 2078846 2321067 2060901
63872, 2084657 820019 935420 2518827 437729
64303, 657183 784737 343377 1386412 1443706
64930, 2641183 1803224 2146288 1845544 2493862
65592, 723096 967007 2653847 1185969 665194
66592, 795787 2375684 935296 2381714 289761
66908, 789181 1814179 2771700 2772187 2299214
67173, 407767 2146604 686364 2677401 1670754
67354, 2501141 1273362 1129 1326642 745650
67659, 1438328 274499 388384 2430875 809762
67705, 1820087 1878292 176021 457843 613717
67752, 2778525 1244196 1386412 657183 2791339
67939, 349653 2451675 696169 244633 1359930
69088, 2778525 1244196 1386412 657183 2791339
69418, 2770555 2182050 1945860 2133175 1264311
69428, 665194 1502246 2249067 2018166 2371498
69757, 1900952 1080935 2484384 1939406 2467156
70134, 1386412 1352609 784737 2603642 612412
70534, 1052523 595316 1396791 1582458 1212629
70547, 2166643 1068553 2039543 2257510 911310
70649, 2026628 2821503 772414 1224741 2438963
70855, 1864723 1041734 321361 2027483 1807932
71226, 1626313 948507 714833 1297913 634186
72027, 890511 2708595 1428762 2216592 1052678
72461, 1027568 1563273 1112235 392426 39570
72570, 53378 103803 2624676 1066283 425836
73454, 1678673 2359424 393396 523776 1057203
73471, 1314105 1626821 1332465 2492063 2034234
73525, 2794756 594574 2208035 2208375 1824155
74032, 2778525 1244196 1386412 657183 2791339
74663, 839657 45637 2720106 1788462 2786750
75611, 291669 1907046 892333 1835742 1376058
76103, 731 2011456 116763 1391673 2252836
76608, 1988716 1174393 1889294 469701 1533796
76720, 1501510 238571 2501356 1191532 35121
77440, 2060647 1445800 2686958 2196535 52771
77641, 422508 515301 1149589 2335481 1244196
77738, 2347349 2227440 1863686 1066529 2133932
77942, 1835008 2621441 131076 2190835 2359303
77992, 1637070 417788 1701345 918021 1836677
78016, 2112096 1126753 507102 1398399 1552463
78100, 2641824 1761908 1526040 627289 437600
78298, 2778525 1244196 1386412 657183 2791339
78784, 770613 2733672 1557892 1978958 450489
79349, 262552 39524 1643381 2200718 1726354
79426, 1094501 1390420 252019 856671 2216427
79738, 1012298 1149548 331730 1344182 46507
79802, 1619241 943916 793921 2471983 2259652
80026, 1494459 1716471 2586497 2453758 2041440
80113, 1835008 2621441 131076 2190835 2359303
80743, 2323368 2032725 2665365 791444 2589105
80933, 1233361 1663143 1225606 2640462 1870130
81213, 1521292 18386 924377 2667620 2458486
81342, 2626742 161817 2502097 1718564 290587
81375, 2778525 1244196 1386412 657183 2791339
82204, 1752047 1907046 1726537 244777 2361765
82500, 318963 159631 2299750 1674439 1602526
82645, 186124 2088166 2679769 925751 2699781
82778, 2264972 257339 1258559 1040073 70127
82848, 2778525 1244196 1386412 657183 2791339
82953, 266412 2796479 1679143 2420135 2459081
83200, 1027568 1820087 1776696 1878292 176021
83840, 2312579 2080710 1505949 242285 2654710
84028, 557698 1345329 2371051 814894 1734499
84579, 408560 699463 1930115 2044645 395437
84814, 2778525 1244196 1386412 657183 2791339
84989, 876529 1844001 816307 2192679 1384921
85006, 1091499 1036456 1111139 1112441 1245050
85011, 1350991 2183022 1769599 569351 969775
85432, 118115 2136354 5506 561082 298752
85921, 2630413 2107642 2626770 2243784 1735458
85958, 1835008 2621441 131076 2190835 2359303
85991, 1879708 2278924 1414730 59733 1189720
86194, 715039 2264363 1920003 1265178 13116
86285, 2680669 1809836 2784272 2459081 1047625
86316, 2014155 931252 2482754 1577713 349627
86856, 232896 403371 639290 1702143 2128734
87127, 2778525 1244196 1386412 657183 2791339
87569, 2632099 215081 1776696 186124 83516
87622, 460717 810956 1140869 2024094 134458
87629, 472040 1808332 949686 723096 1174528
88090, 2352642 390219 2677082 333175 1677816
88699, 357345 2500091 2405262 1126440 739072
89595, 2778525 1244196 1386412 657183 2791339
89700, 691437 409934 2623483 2436920 535530
90134, 462493 2124560 2171176 2768923 1583220
90275, 278742 858270 850376 132784 2763200
90552, 961137 2828811 190851 1678614 2531235
90609, 1283135 2731831 1189146 2024094 1165605
90615, 599025 2625619 684798 1477642 1106600
90733, 562726 1492887 1634962 711142 98202
91295, 1702063 1493721 2107561 2507090 224352
92019, 770613 2672526 2463916 2820443 2370171
92182, 2778525 1244196 1386412 657183 2791339
92343, 42078 1347243 1263986 247942 923967
93312, 1835008 2621441 131076 2190835 2359303
93887, 1588847 1189784 1497556 1603227 1759947
93930, 251069 2763004 2312490 403371 1225652
94336, 10303 227721 2284624 1772350 2255147
94417, 548067 2624540 1448905 959602 1821771
94548, 2778525 1244196 1386412 657183 2791339
94665, 2088166 2699781 2015500 2623483 1072125
94805, 2231186 2796479 1636910 657183 1551285
94918, 1421766 2501297 1977219 1977993 536498
94945, 1969453 1538720 365532 1963831 926433
95321, 339272 1524921 2603025 2280960 2032884
95619, 2778525 1244196 1386412 657183 2791339
96109, 930474 415530 289761 395053 323022
96164, 977979 760311 303593 2229410 2781027
96187, 2486575 139004 2453247 2108788 2445526
96756, 1835008 2621441 131076 2190835 2359303
