user_id,recommended_items
118777,1053452 2778525 1244196 1386412 657183
2613732,1053452 2778525 1244196 1386412 657183
1685992,1053452 2778525 1244196 1386412 657183
332162,1053452 2778525 1244196 1386412 657183
1583325,1053452 2778525 1244196 1386412 657183
2433425,1053452 2778525 1244196 1386412 657183
2186409,1053452 2778525 1244196 1386412 657183
2538158,1053452 2778525 1244196 1386412 657183
250758,1053452 2778525 1244196 1386412 657183
859377,1053452 2778525 1244196 1386412 657183
2092487,1053452 2778525 1244196 1386412 657183
288497,1053452 2778525 1244196 1386412 657183
2026461,1053452 2778525 1244196 1386412 657183
367320,1053452 2778525 1244196 1386412 657183
1432934,1053452 2778525 1244196 1386412 657183
2372268,1053452 2778525 1244196 1386412 657183
2284278,1053452 2778525 1244196 1386412 657183
645481,1053452 2778525 1244196 1386412 657183
80633,1053452 2778525 1244196 1386412 657183
2255540,1053452 2778525 1244196 1386412 657183
160108,1053452 2778525 1244196 1386412 657183
2400139,1053452 2778525 1244196 1386412 657183
1892425,1053452 2778525 1244196 1386412 657183
2384328,1053452 2778525 1244196 1386412 657183
1254093,1053452 2778525 1244196 1386412 657183
1358077,1053452 2778525 1244196 1386412 657183
2176120,1053452 2778525 1244196 1386412 657183
2463576,1053452 2778525 1244196 1386412 657183
1165756,1053452 2778525 1244196 1386412 657183
204192,1053452 2778525 1244196 1386412 657183
2432653,1053452 2778525 1244196 1386412 657183
520255,1053452 2778525 1244196 1386412 657183
872614,1053452 2778525 1244196 1386412 657183
285083,1053452 2778525 1244196 1386412 657183
1117111,1053452 2778525 1244196 1386412 657183
2548478,1053452 2778525 1244196 1386412 657183
1029411,1053452 2778525 1244196 1386412 657183
2658616,1053452 2778525 1244196 1386412 657183
1394690,1053452 2778525 1244196 1386412 657183
2674883,1053452 2778525 1244196 1386412 657183
694095,1053452 2778525 1244196 1386412 657183
222713,1053452 2778525 1244196 1386412 657183
145262,1053452 2778525 1244196 1386412 657183
2829933,1053452 2778525 1244196 1386412 657183
1709726,1053452 2778525 1244196 1386412 657183
2129147,1053452 2778525 1244196 1386412 657183
686738,1053452 2778525 1244196 1386412 657183
1418767,1053452 2778525 1244196 1386412 657183
2806934,1053452 2778525 1244196 1386412 657183
2251053,1053452 2778525 1244196 1386412 657183
1177964,1053452 2778525 1244196 1386412 657183
557063,1053452 2778525 1244196 1386412 657183
2641598,1053452 2778525 1244196 1386412 657183
682892,1053452 2778525 1244196 1386412 657183
2414866,1053452 2778525 1244196 1386412 657183
2934779,1053452 2778525 1244196 1386412 657183
702618,1053452 2778525 1244196 1386412 657183
1258920,1053452 2778525 1244196 1386412 657183
1825133,1053452 2778525 1244196 1386412 657183
508740,1053452 2778525 1244196 1386412 657183
1519285,1053452 2778525 1244196 1386412 657183
265681,1053452 2778525 1244196 1386412 657183
1565867,1053452 2778525 1244196 1386412 657183
256185,1053452 2778525 1244196 1386412 657183
465432,1053452 2778525 1244196 1386412 657183
1351172,1053452 2778525 1244196 1386412 657183
946464,1053452 2778525 1244196 1386412 657183
248212,1053452 2778525 1244196 1386412 657183
289190,1053452 2778525 1244196 1386412 657183
1214104,1053452 2778525 1244196 1386412 657183
604174,1053452 2778525 1244196 1386412 657183
684281,1053452 2778525 1244196 1386412 657183
1185382,1053452 2778525 1244196 1386412 657183
1101903,1053452 2778525 1244196 1386412 657183
2444796,1053452 2778525 1244196 1386412 657183
1058700,1053452 2778525 1244196 1386412 657183
2217148,1053452 2778525 1244196 1386412 657183
2230497,1053452 2778525 1244196 1386412 657183
2586679,1053452 2778525 1244196 1386412 657183
635185,1053452 2778525 1244196 1386412 657183
306954,1053452 2778525 1244196 1386412 657183
2232759,1053452 2778525 1244196 1386412 657183
1245396,1053452 2778525 1244196 1386412 657183
2801687,1053452 2778525 1244196 1386412 657183
507001,1053452 2778525 1244196 1386412 657183
953365,1053452 2778525 1244196 1386412 657183
1147463,1053452 2778525 1244196 1386412 657183
1534707,1053452 2778525 1244196 1386412 657183
1504662,1053452 2778525 1244196 1386412 657183
1845077,1053452 2778525 1244196 1386412 657183
2950304,1053452 2778525 1244196 1386412 657183
106421,1053452 2778525 1244196 1386412 657183
1947730,1053452 2778525 1244196 1386412 657183
1251845,1053452 2778525 1244196 1386412 657183
141932,1053452 2778525 1244196 1386412 657183
1708387,1053452 2778525 1244196 1386412 657183
2039843,1053452 2778525 1244196 1386412 657183
598545,1053452 2778525 1244196 1386412 657183
2392171,1053452 2778525 1244196 1386412 657183
1810682,1053452 2778525 1244196 1386412 657183
571943,1053452 2778525 1244196 1386412 657183
1938258,1053452 2778525 1244196 1386412 657183
1960673,1053452 2778525 1244196 1386412 657183
1600168,1053452 2778525 1244196 1386412 657183
1152419,1053452 2778525 1244196 1386412 657183
1602130,1053452 2778525 1244196 1386412 657183
2558092,1053452 2778525 1244196 1386412 657183
1055735,1053452 2778525 1244196 1386412 657183
669795,1053452 2778525 1244196 1386412 657183
2700713,1053452 2778525 1244196 1386412 657183
210120,1053452 2778525 1244196 1386412 657183
261598,1053452 2778525 1244196 1386412 657183
1260,1053452 2778525 1244196 1386412 657183
816106,1053452 2778525 1244196 1386412 657183
261524,1053452 2778525 1244196 1386412 657183
1788560,1053452 2778525 1244196 1386412 657183
934004,1053452 2778525 1244196 1386412 657183
2177013,1053452 2778525 1244196 1386412 657183
1709299,1053452 2778525 1244196 1386412 657183
1537421,1053452 2778525 1244196 1386412 657183
2833067,1053452 2778525 1244196 1386412 657183
1603248,1053452 2778525 1244196 1386412 657183
2703904,1053452 2778525 1244196 1386412 657183
1104309,1053452 2778525 1244196 1386412 657183
2078871,1053452 2778525 1244196 1386412 657183
2382177,1053452 2778525 1244196 1386412 657183
2544702,1053452 2778525 1244196 1386412 657183
592390,1053452 2778525 1244196 1386412 657183
3177,1053452 2778525 1244196 1386412 657183
1800348,1053452 2778525 1244196 1386412 657183
2063719,1053452 2778525 1244196 1386412 657183
1909861,1053452 2778525 1244196 1386412 657183
820058,1053452 2778525 1244196 1386412 657183
1447032,1053452 2778525 1244196 1386412 657183
2220784,1053452 2778525 1244196 1386412 657183
193969,1053452 2778525 1244196 1386412 657183
445161,1053452 2778525 1244196 1386412 657183
1896565,1053452 2778525 1244196 1386412 657183
367455,1053452 2778525 1244196 1386412 657183
2135004,1053452 2778525 1244196 1386412 657183
2578817,1053452 2778525 1244196 1386412 657183
1115445,1053452 2778525 1244196 1386412 657183
351438,1053452 2778525 1244196 1386412 657183
41403,1053452 2778525 1244196 1386412 657183
1482614,1053452 2778525 1244196 1386412 657183
2326763,1053452 2778525 1244196 1386412 657183
1678459,1053452 2778525 1244196 1386412 657183
2097027,1053452 2778525 1244196 1386412 657183
1232103,1053452 2778525 1244196 1386412 657183
1529649,1053452 2778525 1244196 1386412 657183
2508857,1053452 2778525 1244196 1386412 657183
424839,1053452 2778525 1244196 1386412 657183
1566688,1053452 2778525 1244196 1386412 657183
1652664,1053452 2778525 1244196 1386412 657183
90973,1053452 2778525 1244196 1386412 657183
1591131,1053452 2778525 1244196 1386412 657183
1120701,1053452 2778525 1244196 1386412 657183
938272,1053452 2778525 1244196 1386412 657183
1885923,1053452 2778525 1244196 1386412 657183
343141,1053452 2778525 1244196 1386412 657183
1113132,1053452 2778525 1244196 1386412 657183
816648,1053452 2778525 1244196 1386412 657183
2666830,1053452 2778525 1244196 1386412 657183
2079317,1053452 2778525 1244196 1386412 657183
1623371,1053452 2778525 1244196 1386412 657183
1210463,1053452 2778525 1244196 1386412 657183
442687,1053452 2778525 1244196 1386412 657183
686298,1053452 2778525 1244196 1386412 657183
1471419,1053452 2778525 1244196 1386412 657183
187991,1053452 2778525 1244196 1386412 657183
2193653,1053452 2778525 1244196 1386412 657183
391875,1053452 2778525 1244196 1386412 657183
710105,1053452 2778525 1244196 1386412 657183
2904693,1053452 2778525 1244196 1386412 657183
2211791,1053452 2778525 1244196 1386412 657183
2572491,1053452 2778525 1244196 1386412 657183
357669,1053452 2778525 1244196 1386412 657183
1801302,1053452 2778525 1244196 1386412 657183
2486234,1053452 2778525 1244196 1386412 657183
1813883,1053452 2778525 1244196 1386412 657183
2553338,1053452 2778525 1244196 1386412 657183
636177,1053452 2778525 1244196 1386412 657183
1312773,1053452 2778525 1244196 1386412 657183
1955650,1053452 2778525 1244196 1386412 657183
830695,1053452 2778525 1244196 1386412 657183
269440,1053452 2778525 1244196 1386412 657183
2588739,1053452 2778525 1244196 1386412 657183
2131466,1053452 2778525 1244196 1386412 657183
2134203,1053452 2778525 1244196 1386412 657183
393107,1053452 2778525 1244196 1386412 657183
1644921,1053452 2778525 1244196 1386412 657183
1197828,1053452 2778525 1244196 1386412 657183
1612013,1053452 2778525 1244196 1386412 657183
257738,1053452 2778525 1244196 1386412 657183
505158,1053452 2778525 1244196 1386412 657183
1473366,1053452 2778525 1244196 1386412 657183
2977657,1053452 2778525 1244196 1386412 657183
2489069,1053452 2778525 1244196 1386412 657183
1448579,1053452 2778525 1244196 1386412 657183
2452609,1053452 2778525 1244196 1386412 657183
2517775,1053452 2778525 1244196 1386412 657183
2353894,1053452 2778525 1244196 1386412 657183
2546046,1053452 2778525 1244196 1386412 657183
2055196,1053452 2778525 1244196 1386412 657183
2453370,1053452 2778525 1244196 1386412 657183
930894,1053452 2778525 1244196 1386412 657183
2487643,1053452 2778525 1244196 1386412 657183
2110477,1053452 2778525 1244196 1386412 657183
785075,1053452 2778525 1244196 1386412 657183
1384319,1053452 2778525 1244196 1386412 657183
2619424,1053452 2778525 1244196 1386412 657183
1578699,1053452 2778525 1244196 1386412 657183
18749,1053452 2778525 1244196 1386412 657183
408782,1053452 2778525 1244196 1386412 657183
1114462,1053452 2778525 1244196 1386412 657183
302918,1053452 2778525 1244196 1386412 657183
1789212,1053452 2778525 1244196 1386412 657183
2002121,1053452 2778525 1244196 1386412 657183
1894809,1053452 2778525 1244196 1386412 657183
1533220,1053452 2778525 1244196 1386412 657183
1789513,1053452 2778525 1244196 1386412 657183
2114160,1053452 2778525 1244196 1386412 657183
1363090,1053452 2778525 1244196 1386412 657183
1863906,1053452 2778525 1244196 1386412 657183
275686,1053452 2778525 1244196 1386412 657183
1711359,1053452 2778525 1244196 1386412 657183
1500820,1053452 2778525 1244196 1386412 657183
2727164,1053452 2778525 1244196 1386412 657183
992373,1053452 2778525 1244196 1386412 657183
161521,1053452 2778525 1244196 1386412 657183
581186,1053452 2778525 1244196 1386412 657183
108692,1053452 2778525 1244196 1386412 657183
368287,1053452 2778525 1244196 1386412 657183
2201402,1053452 2778525 1244196 1386412 657183
2181977,1053452 2778525 1244196 1386412 657183
105334,1053452 2778525 1244196 1386412 657183
379874,1053452 2778525 1244196 1386412 657183
1112818,1053452 2778525 1244196 1386412 657183
2246710,1053452 2778525 1244196 1386412 657183
2254332,1053452 2778525 1244196 1386412 657183
1669306,1053452 2778525 1244196 1386412 657183
2100772,1053452 2778525 1244196 1386412 657183
2693540,1053452 2778525 1244196 1386412 657183
1858403,1053452 2778525 1244196 1386412 657183
2057302,1053452 2778525 1244196 1386412 657183
2709028,1053452 2778525 1244196 1386412 657183
1569865,1053452 2778525 1244196 1386412 657183
2656435,1053452 2778525 1244196 1386412 657183
2433010,1053452 2778525 1244196 1386412 657183
1748340,1053452 2778525 1244196 1386412 657183
97718,1053452 2778525 1244196 1386412 657183
1778421,1053452 2778525 1244196 1386412 657183
1768636,1053452 2778525 1244196 1386412 657183
2445048,1053452 2778525 1244196 1386412 657183
106320,1053452 2778525 1244196 1386412 657183
217483,1053452 2778525 1244196 1386412 657183
1567667,1053452 2778525 1244196 1386412 657183
2046292,1053452 2778525 1244196 1386412 657183
111479,1053452 2778525 1244196 1386412 657183
1059635,1053452 2778525 1244196 1386412 657183
2604261,1053452 2778525 1244196 1386412 657183
1454497,1053452 2778525 1244196 1386412 657183
191220,1053452 2778525 1244196 1386412 657183
2440446,1053452 2778525 1244196 1386412 657183
879363,1053452 2778525 1244196 1386412 657183
2597791,1053452 2778525 1244196 1386412 657183
1270554,1053452 2778525 1244196 1386412 657183
2479577,1053452 2778525 1244196 1386412 657183
1284756,1053452 2778525 1244196 1386412 657183
487881,1053452 2778525 1244196 1386412 657183
2775355,1053452 2778525 1244196 1386412 657183
651552,1053452 2778525 1244196 1386412 657183
443508,1053452 2778525 1244196 1386412 657183
965913,1053452 2778525 1244196 1386412 657183
2419713,1053452 2778525 1244196 1386412 657183
2595336,1053452 2778525 1244196 1386412 657183
248412,1053452 2778525 1244196 1386412 657183
2145235,1053452 2778525 1244196 1386412 657183
2221169,1053452 2778525 1244196 1386412 657183
2541790,1053452 2778525 1244196 1386412 657183
2195287,1053452 2778525 1244196 1386412 657183
2763567,1053452 2778525 1244196 1386412 657183
2699015,1053452 2778525 1244196 1386412 657183
2193068,1053452 2778525 1244196 1386412 657183
1001889,1053452 2778525 1244196 1386412 657183
979432,1053452 2778525 1244196 1386412 657183
1457891,1053452 2778525 1244196 1386412 657183
1701826,1053452 2778525 1244196 1386412 657183
310514,1053452 2778525 1244196 1386412 657183
1270644,1053452 2778525 1244196 1386412 657183
552041,1053452 2778525 1244196 1386412 657183
714654,1053452 2778525 1244196 1386412 657183
2481127,1053452 2778525 1244196 1386412 657183
241299,1053452 2778525 1244196 1386412 657183
1482737,1053452 2778525 1244196 1386412 657183
2154390,1053452 2778525 1244196 1386412 657183
1835574,1053452 2778525 1244196 1386412 657183
397583,1053452 2778525 1244196 1386412 657183
1503540,1053452 2778525 1244196 1386412 657183
2081920,1053452 2778525 1244196 1386412 657183
2095767,1053452 2778525 1244196 1386412 657183
772498,1053452 2778525 1244196 1386412 657183
1353226,1053452 2778525 1244196 1386412 657183
1580963,1053452 2778525 1244196 1386412 657183
517745,1053452 2778525 1244196 1386412 657183
847233,1053452 2778525 1244196 1386412 657183
1381346,1053452 2778525 1244196 1386412 657183
1499575,1053452 2778525 1244196 1386412 657183
