user_id,recommended_items
118777,2778525 1244196 1386412 657183 2791339
2613732,2778525 1244196 1386412 657183 2791339
1685992,2778525 1244196 1386412 657183 2791339
332162,2778525 1244196 1386412 657183 2791339
1583325,2778525 1244196 1386412 657183 2791339
2433425,2778525 1244196 1386412 657183 2791339
2186409,2778525 1244196 1386412 657183 2791339
2538158,2778525 1244196 1386412 657183 2791339
250758,2778525 1244196 1386412 657183 2791339
859377,2778525 1244196 1386412 657183 2791339
2092487,2778525 1244196 1386412 657183 2791339
288497,2778525 1244196 1386412 657183 2791339
2026461,2778525 1244196 1386412 657183 2791339
367320,2778525 1244196 1386412 657183 2791339
1432934,2778525 1244196 1386412 657183 2791339
2372268,2778525 1244196 1386412 657183 2791339
2284278,2778525 1244196 1386412 657183 2791339
645481,2778525 1244196 1386412 657183 2791339
80633,2778525 1244196 1386412 657183 2791339
2255540,2778525 1244196 1386412 657183 2791339
160108,2778525 1244196 1386412 657183 2791339
2400139,2778525 1244196 1386412 657183 2791339
1892425,2778525 1244196 1386412 657183 2791339
2384328,2778525 1244196 1386412 657183 2791339
1254093,2778525 1244196 1386412 657183 2791339
1358077,2778525 1244196 1386412 657183 2791339
2176120,2778525 1244196 1386412 657183 2791339
2463576,2778525 1244196 1386412 657183 2791339
1165756,2778525 1244196 1386412 657183 2791339
204192,2778525 1244196 1386412 657183 2791339
2432653,2778525 1244196 1386412 657183 2791339
520255,2778525 1244196 1386412 657183 2791339
872614,2778525 1244196 1386412 657183 2791339
285083,2778525 1244196 1386412 657183 2791339
1117111,2778525 1244196 1386412 657183 2791339
2548478,2778525 1244196 1386412 657183 2791339
1029411,2778525 1244196 1386412 657183 2791339
2658616,2778525 1244196 1386412 657183 2791339
1394690,2778525 1244196 1386412 657183 2791339
2674883,2778525 1244196 1386412 657183 2791339
694095,2778525 1244196 1386412 657183 2791339
222713,2778525 1244196 1386412 657183 2791339
145262,2778525 1244196 1386412 657183 2791339
2829933,2778525 1244196 1386412 657183 2791339
1709726,2778525 1244196 1386412 657183 2791339
2129147,2778525 1244196 1386412 657183 2791339
686738,2778525 1244196 1386412 657183 2791339
1418767,2778525 1244196 1386412 657183 2791339
2806934,2778525 1244196 1386412 657183 2791339
2251053,2778525 1244196 1386412 657183 2791339
1177964,2778525 1244196 1386412 657183 2791339
557063,2778525 1244196 1386412 657183 2791339
2641598,2778525 1244196 1386412 657183 2791339
682892,2778525 1244196 1386412 657183 2791339
2414866,2778525 1244196 1386412 657183 2791339
2934779,2778525 1244196 1386412 657183 2791339
702618,2778525 1244196 1386412 657183 2791339
1258920,2778525 1244196 1386412 657183 2791339
1825133,2778525 1244196 1386412 657183 2791339
508740,2778525 1244196 1386412 657183 2791339
1519285,2778525 1244196 1386412 657183 2791339
265681,2778525 1244196 1386412 657183 2791339
1565867,2778525 1244196 1386412 657183 2791339
256185,2778525 1244196 1386412 657183 2791339
465432,2778525 1244196 1386412 657183 2791339
1351172,2778525 1244196 1386412 657183 2791339
946464,2778525 1244196 1386412 657183 2791339
248212,2778525 1244196 1386412 657183 2791339
289190,2778525 1244196 1386412 657183 2791339
1214104,2778525 1244196 1386412 657183 2791339
604174,2778525 1244196 1386412 657183 2791339
684281,2778525 1244196 1386412 657183 2791339
1185382,2778525 1244196 1386412 657183 2791339
1101903,2778525 1244196 1386412 657183 2791339
2444796,2778525 1244196 1386412 657183 2791339
1058700,2778525 1244196 1386412 657183 2791339
2217148,2778525 1244196 1386412 657183 2791339
2230497,2778525 1244196 1386412 657183 2791339
2586679,2778525 1244196 1386412 657183 2791339
635185,2778525 1244196 1386412 657183 2791339
306954,2778525 1244196 1386412 657183 2791339
2232759,2778525 1244196 1386412 657183 2791339
1245396,2778525 1244196 1386412 657183 2791339
2801687,2778525 1244196 1386412 657183 2791339
507001,2778525 1244196 1386412 657183 2791339
953365,2778525 1244196 1386412 657183 2791339
1147463,2778525 1244196 1386412 657183 2791339
1534707,2778525 1244196 1386412 657183 2791339
1504662,2778525 1244196 1386412 657183 2791339
1845077,2778525 1244196 1386412 657183 2791339
2950304,2778525 1244196 1386412 657183 2791339
106421,2778525 1244196 1386412 657183 2791339
1947730,2778525 1244196 1386412 657183 2791339
1251845,2778525 1244196 1386412 657183 2791339
141932,2778525 1244196 1386412 657183 2791339
1708387,2778525 1244196 1386412 657183 2791339
2039843,2778525 1244196 1386412 657183 2791339
598545,2778525 1244196 1386412 657183 2791339
2392171,2778525 1244196 1386412 657183 2791339
1810682,2778525 1244196 1386412 657183 2791339
571943,2778525 1244196 1386412 657183 2791339
1938258,2778525 1244196 1386412 657183 2791339
1960673,2778525 1244196 1386412 657183 2791339
1600168,2778525 1244196 1386412 657183 2791339
1152419,2778525 1244196 1386412 657183 2791339
1602130,2778525 1244196 1386412 657183 2791339
2558092,2778525 1244196 1386412 657183 2791339
1055735,2778525 1244196 1386412 657183 2791339
669795,2778525 1244196 1386412 657183 2791339
2700713,2778525 1244196 1386412 657183 2791339
210120,2778525 1244196 1386412 657183 2791339
261598,2778525 1244196 1386412 657183 2791339
1260,2778525 1244196 1386412 657183 2791339
816106,2778525 1244196 1386412 657183 2791339
261524,2778525 1244196 1386412 657183 2791339
1788560,2778525 1244196 1386412 657183 2791339
934004,2778525 1244196 1386412 657183 2791339
2177013,2778525 1244196 1386412 657183 2791339
1709299,2778525 1244196 1386412 657183 2791339
1537421,2778525 1244196 1386412 657183 2791339
2833067,2778525 1244196 1386412 657183 2791339
1603248,2778525 1244196 1386412 657183 2791339
2703904,2778525 1244196 1386412 657183 2791339
1104309,2778525 1244196 1386412 657183 2791339
2078871,2778525 1244196 1386412 657183 2791339
2382177,2778525 1244196 1386412 657183 2791339
2544702,2778525 1244196 1386412 657183 2791339
592390,2778525 1244196 1386412 657183 2791339
3177,2778525 1244196 1386412 657183 2791339
1800348,2778525 1244196 1386412 657183 2791339
2063719,2778525 1244196 1386412 657183 2791339
1909861,2778525 1244196 1386412 657183 2791339
820058,2778525 1244196 1386412 657183 2791339
1447032,2778525 1244196 1386412 657183 2791339
2220784,2778525 1244196 1386412 657183 2791339
193969,2778525 1244196 1386412 657183 2791339
445161,2778525 1244196 1386412 657183 2791339
1896565,2778525 1244196 1386412 657183 2791339
367455,2778525 1244196 1386412 657183 2791339
2135004,2778525 1244196 1386412 657183 2791339
2578817,2778525 1244196 1386412 657183 2791339
1115445,2778525 1244196 1386412 657183 2791339
351438,2778525 1244196 1386412 657183 2791339
41403,2778525 1244196 1386412 657183 2791339
1482614,2778525 1244196 1386412 657183 2791339
2326763,2778525 1244196 1386412 657183 2791339
1678459,2778525 1244196 1386412 657183 2791339
2097027,2778525 1244196 1386412 657183 2791339
1232103,2778525 1244196 1386412 657183 2791339
1529649,2778525 1244196 1386412 657183 2791339
2508857,2778525 1244196 1386412 657183 2791339
424839,2778525 1244196 1386412 657183 2791339
1566688,2778525 1244196 1386412 657183 2791339
1652664,2778525 1244196 1386412 657183 2791339
90973,2778525 1244196 1386412 657183 2791339
1591131,2778525 1244196 1386412 657183 2791339
1120701,2778525 1244196 1386412 657183 2791339
938272,2778525 1244196 1386412 657183 2791339
1885923,2778525 1244196 1386412 657183 2791339
343141,2778525 1244196 1386412 657183 2791339
1113132,2778525 1244196 1386412 657183 2791339
816648,2778525 1244196 1386412 657183 2791339
2666830,2778525 1244196 1386412 657183 2791339
2079317,2778525 1244196 1386412 657183 2791339
1623371,2778525 1244196 1386412 657183 2791339
1210463,2778525 1244196 1386412 657183 2791339
442687,2778525 1244196 1386412 657183 2791339
686298,2778525 1244196 1386412 657183 2791339
1471419,2778525 1244196 1386412 657183 2791339
187991,2778525 1244196 1386412 657183 2791339
2193653,2778525 1244196 1386412 657183 2791339
391875,2778525 1244196 1386412 657183 2791339
710105,2778525 1244196 1386412 657183 2791339
2904693,2778525 1244196 1386412 657183 2791339
2211791,2778525 1244196 1386412 657183 2791339
2572491,2778525 1244196 1386412 657183 2791339
357669,2778525 1244196 1386412 657183 2791339
1801302,2778525 1244196 1386412 657183 2791339
