user_id,recommended_items
285,1726380 561002 1281879 2676153 1898571
902,1878292 1776696 1206860 1984569 399435
948,1053542 2382795 1961467 2614160 1244196
1183,1664426 1096406 2214708 2393265 2117630
1286,1835008 2621441 131076 2190835 2359303
1509,892333 2467273 1865831 568223 2182715
1776,1757758 1277140 1687056 588206 2468340
1982,2778525 1244196 1386412 657183 2791339
2742,2778525 1244196 1386412 657183 2791339
3161,472040 2755931 1352448 1188603 416914
3256,2786666 1244196 1593341 698025 2280539
3375,272403 2478597 1130008 493250 891705
3547,2778525 1244196 1386412 657183 2791339
3630,415358 714699 374376 447985 1443706
3806,483316 372553 516643 2453319 1871792
4607,2778525 1244196 1386412 657183 2791339
5112,2778525 1244196 1386412 657183 2791339
5627,345660 1937957 314274 2802026 415358
5686,926828 1915773 2309898 1465560 2137463
5738,538069 1129899 2778525 1156803 872187
5839,1952969 2603642 1443706 2698468 1376308
6442,2558141 1174479 211719 2526744 1714028
7182,2340784 1183228 2014172 1734442 1884669
7693,2778525 1244196 1386412 657183 2791339
8316,2476988 2347314 79135 269418 285258
9660,392352 2709027 2084333 2809247 1295234
9680,2254695 1463495 624750 2184058 1524884
10044,388367 1208433 2232786 81416 1218
10316,952267 1091499 1036456 1111139 1112441
10469,1739484 1985892 1861596 1470366 1483617
10470,353289 161347 2686231 2210368 2154395
10870,2778525 1244196 1386412 657183 2791339
10956,459732 192785 2137413 872349 546579
11027,561642 2804423 2416312 991628 1522676
11380,152969 434421 2705558 329426 140720
11423,2778525 1244196 1386412 657183 2791339
11805,178439 1421766 2673524 1604818 1175235
12046,1446413 914591 1432589 607052 931565
12097,201335 1386412 784737 1092821 657183
12233,2778525 1244196 1386412 657183 2791339
12593,702963 1469359 2625962 1216431 222596
12626,1088997 2292469 884199 637549 1631256
12630,2761339 2393613 1099748 987462 393793
12671,2568608 524925 522348 1984752 1741345
12689,1105190 1098944 140160 835143 2278938
12750,174545 2825482 1432388 2092767 137857
12852,406835 981474 1102260 426390 2255401
13715,2778525 1244196 1386412 657183 2791339
14269,456323 2063876 902772 508676 1241609
14624,2459081 650831 1953846 266412 468120
14792,1899045 1301297 941511 1242345 1507066
14966,2081994 420362 908513 2621022 2275702
15006,1115516 1609009 2667087 1654907 1344035
15100,529619 1099170 1192184 651083 148365
15549,1953745 602260 2093033 2086053 1214672
15611,2078789 1870216 2827667 920509 2818939
16228,2778525 1244196 1386412 657183 2791339
16874,2216677 1339831 483871 158526 2353116
16971,725769 919088 136863 236043 405616
18097,339478 2410081 1428371 42465 175978
18564,1040704 1576126 1295570 81952 1099911
18796,385584 2730930 1027708 1723658 1551995
18994,595572 1462267 1463490 337914 406606
19544,914870 2419733 2441110 1709782 1919107
19679,1153200 803421 1734969 1624164 2215646
19704,712930 1606193 66772 2624203 2115383
20101,919742 2566970 1655463 1763516 2157649
20679,2621819 2494138 791461 542471 2326175
20815,2229512 890051 1027568 1853461 176021
20979,1029640 485102 1702541 2588067 1449761
21195,1477642 452334 1567110 164623 3450
21324,581249 632560 2645314 938287 1223649
21578,2778525 1244196 1386412 657183 2791339
21627,2093033 2606923 2672526 2139131 1316710
21663,2617752 213472 2656392 2457976 2209942
21813,59091 1212859 592140 2718988 1585842
21835,468120 2420135 650831 1047625 1953846
22107,484085 986950 2251758 902591 1590432
22206,274885 2730927 787368 964436 2802299
22591,1834588 1880316 1106285 1749748 576717
22728,2778525 1244196 1386412 657183 2791339
23229,1908731 1835008 2621441 131076 2190835
23361,887155 718145 1134856 2563373 2515644
23459,1391091 2313955 659969 1716359 537780
23667,710180 2347446 2471510 1967294 2568839
23718,2257200 1149693 1310522 2463127 1808280
24419,2778525 1244196 1386412 657183 2791339
24465,859700 2373028 165917 2315453 80271
25906,1848866 687954 2654245 2399855 1842540
26038,2257516 300368 665666 657342 2050308
26658,2519335 1578355 1858507 771448 780639
27187,314274 62452 230373 1776696 2314914
27501,1888821 130565 436974 2692362 2708475
27638,404604 459998 1211165 1095251 106209
27707,384116 1967011 2599667 34232 1003125
27727,1809836 71285 1140869 1585842 2167880
27845,582473 2774083 1961823 2581784 1029608
27931,769814 585762 2305336 131280 1848064
28232,1340660 701927 1403274 1765174 2695791
28739,806981 204044 2121581 1640475 426959
